Date,Open,High,Low,Close,Volume,Range,Return_%,H>=L,Valid_Range,EMH,EML,ExpRange
2025-10-06,25000.0,25252.75,24995.0,25184.75,410618,257.75,0.7712467989756666,True,True,25172.25,24799.5,372.75
2025-10-07,25184.5,25275.0,24984.75,25039.25,532138,290.25,-0.5777305710797154,True,True,25357.5,24973.0,384.5
2025-10-08,25059.75,25364.75,25026.25,25331.0,451309,338.5,1.165170682029215,True,True,25232.75,24847.5,385.25
2025-10-09,25351.5,25394.0,25160.75,25289.25,493746,233.25,-0.1648178121669064,True,True,25532.75,25159.5,373.25
2025-10-10,25287.75,25388.0,24158.5,24397.0,914799,1229.5,-3.528178969324913,True,True,25473.25,25106.75,366.5
2025-10-13,24542.0,24965.0,24542.0,24922.25,648555,423.0,2.15292863876706,True,True,24730.0,24196.75,533.25
2025-10-14,24913.75,25044.25,24421.0,24762.5,720613,623.25,-0.6409934897531278,True,True,25133.25,24568.5,564.75
2025-10-15,24754.0,25115.0,24663.25,24924.5,623588,451.75,0.6542150429076132,True,True,24959.75,24392.75,567.0
2025-10-16,24937.0,25179.5,24643.5,24831.25,726832,536.0,-0.3741298722140907,True,True,25188.0,24575.75,612.25
2025-10-17,24793.75,25055.75,24410.0,24986.5,735172,645.75,0.625220236597035,True,True,25044.75,24396.75,648.0
2025-10-20,25065.75,25354.5,24955.75,25305.25,429885,398.75,1.275688871990877,True,True,25382.75,24668.75,714.0
2025-10-21,25326.75,25368.0,25203.25,25294.75,432351,164.75,-0.04149336600112186,True,True,25634.75,24879.75,755.0
2025-10-22,25283.75,25338.25,24804.75,25039.25,683645,533.5,-1.010091026794102,True,True,25611.0,24903.75,707.25
2025-10-23,25012.25,25296.0,24937.0,25254.0,521869,359.0,0.8576534840300631,True,True,25339.5,24591.25,748.25
2025-10-24,25283.25,25570.75,25276.0,25509.25,459796,294.75,1.010730973311169,True,True,25594.25,24966.75,627.5
2025-10-27,25723.5,26013.5,25700.0,25963.75,421306,313.5,1.781706635828173,True,True,26017.0,25407.0,610.0
2025-10-28,26002.5,26231.5,25943.0,26163.5,440019,288.5,0.7693418708776711,True,True,26282.75,25722.0,560.75
2025-10-29,26179.75,26379.75,26049.25,26262.5,548648,330.5,0.3783897414336712,True,True,26441.25,25899.25,542.0
2025-10-30,26154.5,26399.0,25853.0,25882.75,654512,546.0,-1.44597810566397,True,True,26411.0,25916.5,494.5
2025-10-31,26150.5,26274.0,25888.75,26004.0,589761,385.25,0.4684587225082248,True,True,26376.25,25867.75,508.5
2025-11-03,26028.25,26266.0,26012.75,26103.25,468410,253.25,0.3816720504537852,True,True,26244.75,25750.5,494.25
2025-11-04,26104.5,26104.5,25522.75,25575.25,659924,581.75,-2.02273663241167,True,True,26313.75,25771.75,542.0
2025-11-05,25545.0,25880.0,25282.0,25746.25,610347,598.0,0.6686151650521444,True,True,25754.25,25201.25,553.0
2025-11-06,25738.5,25822.25,25197.75,25244.25,746178,624.5,-1.949798514346746,True,True,25975.0,25394.75,580.25
2025-11-07,25314.75,25354.75,24709.25,25166.25,752912,645.5,-0.3089812531566594,True,True,25558.25,24950.5,607.75
