20250919 051100;24718.25;24718.25;24716;24716.5;41
20250919 051200;24715.75;24717;24714.75;24715.25;39
20250919 051300;24715.5;24716.25;24715;24716.25;16
20250919 051400;24715.75;24715.75;24709.5;24711.25;125
20250919 051500;24711;24715;24710.75;24714;64
20250919 051600;24714.25;24714.25;24711.25;24714;25
20250919 051700;24714;24714;24711.75;24712.25;26
20250919 051800;24711.5;24713;24710.5;24711.75;44
20250919 051900;24711;24714.25;24711;24714.25;35
20250919 052000;24713.75;24715.75;24713.5;24715;41
20250919 052100;24715;24716.75;24714;24716.25;21
20250919 052200;24717;24717.75;24716;24716;24
20250919 052300;24716.75;24718.75;24716.5;24717.5;31
20250919 052400;24718;24718.75;24715.75;24716;29
20250919 052500;24716.25;24718.25;24715;24717.75;23
20250919 052600;24717.5;24720.25;24717;24720.25;46
20250919 052700;24720.5;24720.75;24718.25;24718.75;28
20250919 052800;24717;24717.5;24715;24717.5;73
20250919 052900;24717;24717.75;24716.5;24717.25;13
20250919 053000;24717.25;24717.25;24709;24709;82
20250919 053100;24708.25;24708.5;24701.25;24701.75;161
20250919 053200;24702.25;24707.75;24702;24703.75;162
20250919 053300;24704.5;24712;24704.5;24707.25;97
20250919 053400;24707.75;24710;24705;24706.75;49
20250919 053500;24706.5;24707;24704.25;24707;50
20250919 053600;24707;24707;24702;24702;50
20250919 053700;24702.75;24707.5;24702.75;24707.5;51
20250919 053800;24707.75;24708.5;24706;24706.75;25
20250919 053900;24707.75;24711.25;24707.75;24711.25;41
20250919 054000;24711.75;24713.5;24710.25;24713.5;60
20250919 054100;24713.75;24715;24712;24713;68
20250919 054200;24712.75;24713.75;24707.5;24707.5;29
20250919 054300;24706.5;24706.5;24704;24705;48
20250919 054400;24705.5;24705.5;24699.25;24700;113
20250919 054500;24700.75;24701.75;24697.25;24699.5;124
20250919 054600;24699.75;24700.25;24697;24699.75;57
20250919 054700;24700;24703.25;24700;24702.25;89
20250919 054800;24701.75;24701.75;24697;24698;37
20250919 054900;24698;24699.5;24697.25;24697.5;94
20250919 055000;24697.25;24701.25;24697.25;24701.25;40
20250919 055100;24700.5;24701.5;24697.25;24698.75;57
20250919 055200;24699.75;24705;24699.75;24702.75;83
20250919 055300;24703;24706.25;24702;24705.25;65
20250919 055400;24705.75;24706;24704.25;24704.25;26
20250919 055500;24704;24705;24703.75;24705;17
20250919 055600;24706;24708.5;24706;24706.75;42
20250919 055700;24705.75;24707.75;24705;24707.5;63
20250919 055800;24708;24709;24705;24706.5;33
20250919 055900;24707;24708;24706.5;24706.75;28
20250919 060000;24706.75;24708.5;24706;24706.5;39
20250919 060100;24706.25;24708.75;24700.75;24703;82
20250919 060200;24703.75;24705.75;24703.25;24705;36
20250919 060300;24705;24706.25;24702.5;24704;66
20250919 060400;24703.5;24708.5;24703.5;24706.75;36
20250919 060500;24708.25;24714.25;24708.25;24713.5;110
20250919 060600;24713.25;24716.75;24712.5;24713.25;93
20250919 060700;24712.75;24713.75;24709.5;24712.5;55
20250919 060800;24712.5;24716.25;24712.5;24713.75;34
20250919 060900;24715;24715.75;24710.75;24711.5;59
20250919 061000;24711.25;24714;24710;24712.25;73
20250919 061100;24713.25;24716.25;24711.5;24715.25;38
20250919 061200;24716;24716.75;24713.5;24713.5;53
20250919 061300;24714.25;24716.5;24714.25;24715;28
20250919 061400;24715.75;24715.75;24712;24712;32
20250919 061500;24711.75;24714.25;24709.25;24710.25;40
20250919 061600;24710.5;24711.25;24708;24709.5;67
20250919 061700;24710.75;24713.75;24707.25;24707.5;78
20250919 061800;24708;24708.5;24701.5;24704;99
20250919 061900;24705;24705;24701.25;24703;42
20250919 062000;24703.75;24704;24702.5;24703.25;31
20250919 062100;24704.75;24710;24704.75;24707.75;56
20250919 062200;24708.25;24708.25;24701.25;24702.75;60
20250919 062300;24702.5;24702.75;24688.75;24690;207
20250919 062400;24690.25;24690.75;24679.25;24686.75;411
20250919 062500;24687.75;24688.75;24682.75;24688.75;155
20250919 062600;24688;24688;24679.75;24683;177
20250919 062700;24682;24682;24674.75;24680.75;133
20250919 062800;24681.25;24688.75;24680.5;24687.75;116
20250919 062900;24688.25;24690.75;24686.5;24687;116
20250919 063000;24688.25;24689.25;24684.75;24688.25;97
20250919 063100;24688.5;24691.5;24682.75;24689.5;198
20250919 063200;24688.75;24693.5;24683.25;24692.25;150
20250919 063300;24691.25;24692.25;24686.25;24686.25;60
20250919 063400;24686.5;24688.5;24684;24684.5;56
20250919 063500;24685.25;24685.25;24680.5;24682.75;82
20250919 063600;24682.5;24686.5;24681.5;24685;56
20250919 063700;24684.75;24688.25;24683.5;24687.5;64
20250919 063800;24687;24697;24685.75;24696.25;143
20250919 063900;24695.25;24698;24692.5;24694.5;94
20250919 064000;24695.25;24702;24694.25;24701.25;114
20250919 064100;24701.25;24704.25;24699.5;24701.25;120
20250919 064200;24701.5;24703.25;24701.25;24701.75;48
